# Figura 6.17 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 6 — DeltaT [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
37442.05,-0.4529
37442.05,-0.0902
37442.05,-0.1895
37442.05,-0.0658
37678.36,-0.0658
37678.36,-0.1651
37678.36,-0.0399
37678.36,-0.4126
37678.36,-0.1838
37914.67,-0.0586
37914.67,-0.1579
37914.67,-0.0327
37914.67,-0.1320
37914.67,-0.0068
38150.99,-0.0068
38150.99,-0.3781
38150.99,-0.0312
38387.30,-0.0312
38387.30,-0.1305
38387.30,-0.0053
38387.30,-0.3752
38387.30,-0.1550
38615.73,-0.0284
38615.73,-0.1276
38615.73,-0.0010
38615.73,-0.1018
38615.73,0.0263
38852.05,0.0263
38852.05,-0.0730
39088.36,-0.0730
39088.36,-0.4428
39088.36,-0.0773
39088.36,-0.1766
39088.36,-0.0500
39324.67,-0.0500
39324.67,-0.1493
39324.67,-0.0212
39324.67,-0.1219
39560.99,-0.3910
39560.99,-0.0370
39560.99,-0.1363
39560.99,-0.0082
39789.42,-0.0082
39789.42,-0.3766
39789.42,-0.0240
39789.42,-0.1233
39789.42,0.0048
40025.73,0.0048
40025.73,-0.1938
40025.73,-0.0658
40262.05,-0.0658
40262.05,-0.4328
40262.05,-0.0643
40498.36,-0.0643
40498.36,-0.1637
40498.36,-0.0356
40498.36,-0.4011
40498.36,-0.1679
40734.67,-0.0399
40734.67,-0.1392
40734.67,-0.0096
40734.67,-0.1090
40963.11,0.0206
40963.11,-0.0787
41199.42,-0.0787
41199.42,-0.4442
41199.42,-0.0686
41199.42,-0.1694
41199.42,-0.0399
41435.73,-0.0399
41435.73,-0.4039
41435.73,-0.0384
41435.73,-0.1377
41672.05,-0.0082
41672.05,-0.1075
41672.05,0.0234
41908.36,0.0234
41908.36,-0.1766
42136.80,-0.4400
42136.80,-0.0629
42136.80,-0.1622
42136.80,-0.0312
42373.11,-0.0312
42373.11,-0.3939
42373.11,-0.0269
42373.11,-0.1276
42373.11,0.0048
42609.42,0.0048
42609.42,-0.1952
42845.73,-0.4572
42845.73,-0.0730
42845.73,-0.1737
42845.73,-0.0399
43082.05,-0.0399
43082.05,-0.4011
43082.05,-0.0312
43082.05,-0.1305
43082.05,0.0019
43310.48,0.0019
43310.48,-0.0989
