Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água
535       100.00     650.0          303.4      0.737        1800       213     0
536       100.00     650.0          303.4      0.737        1800       213     0
537       100.00     650.0          303.4      0.737        1800       213     0
538       100.00     650.0          303.4      0.737        1800       213     0
539       100.00     650.0          303.4      0.737        1800       213     0
540       100.00     650.0          303.4      0.737        1800       213     0
541       100.00     650.0          303.4      0.737        1800       213     0
542       100.00     650.0          303.4      0.737        1800       213     0
543       100.00     650.0          303.4      0.736        1800       213     0
544       100.00     650.0          303.4      0.736        1800       213     0
545       100.00     650.0          303.4      0.736        1800       213     0
546       100.00     650.0          303.4      0.736        1800       213     0
547       100.00     650.0          303.4      0.736        1800       213     0
548       100.00     650.0          303.4      0.736        1800       213     0
549       100.00     650.0          303.4      0.736        1800       213     0
550       100.00     650.0          303.4      0.735        1800       213     0
551       100.00     650.0          303.4      0.735        1800       213     0
552       100.00     650.0          303.4      0.735        1800       213     0
553       100.00     650.0          303.4      0.735        1800       213     0
554       100.00     650.0          303.4      0.735        1800       213     0
555       100.00     650.0          303.4      0.735        1800       213     0
556       100.00     650.0          303.4      0.735        1800       213     0
557       100.00     650.0          303.4      0.735        1800       213     0
558       100.00     650.0          303.4      0.734        1800       213     0
559       100.00     650.0          303.4      0.734        1800       213     0
560       100.00     650.0          303.4      0.734        1800       213     0
561       100.00     650.0          303.4      0.734        1800       213     0
562       100.00     650.0          303.4      0.734        1800       213     0
563       100.00     650.0          303.4      0.734        1800       213     0
564       100.00     650.0          303.4      0.734        1800       213     0
565       100.00     650.0          303.4      0.734        1800       213     0
566       100.00     650.0          303.4      0.733        1800       213     0
567       100.00     650.0          303.4      0.733        1800       213     0
568       100.00     650.0          303.4      0.733        1800       213     0
569       100.00     650.0          303.4      0.733        1800       213     0
570       100.00     650.0          303.4      0.733        1800       213     0
571       100.00     650.0          303.4      0.733        1800       213     0
572       100.00     650.0          303.4      0.733        1800       213     0
573       100.00     650.0          303.4      0.733        1800       213     0
574       100.00     650.0          303.4      0.732        1800       213     0
575       100.00     650.0          303.4      0.732        1800       213     0
576       100.00     650.0          303.4      0.732        1800       213     0
577       100.00     650.0          303.4      0.732        1800       213     0
578       100.00     650.0          303.4      0.732        1800       213     0
579       100.00     650.0          303.4      0.732        1800       213     0
580       100.00     650.0          303.4      0.732        1800       213     0
581       100.00     650.0          303.4      0.732        1800       213     0
582       100.00     650.0          303.4      0.732        1800       213     0
583       100.00     650.0          303.4      0.731        1800       213     0
584       100.00     650.0          303.4      0.731        1800       213     0
585       100.00     650.0          303.4      0.731        1800       213     0
586       100.00     650.0          303.4      0.731        1800       213     0
587       100.00     650.0          303.4      0.731        1800       213     0
588       100.00     650.0          303.4      0.731        1800       213     0
589       100.00     650.0          303.4      0.731        1800       213     0
590       100.00     650.0          303.4      0.731        1800       213     0
591       100.00     650.0          303.4      0.730        1800       213     0
592       100.00     650.0          303.4      0.730        1800       213     0
593       100.00     650.0          303.4      0.730        1800       213     0
594       100.00     650.0          303.4      0.730        1800       213     0
595       100.00     650.0          303.4      0.730        1800       213     0
596       100.00     650.0          303.4      0.730        1800       213     0
597       100.00     650.0          303.4      0.730        1800       213     0
598       100.00     650.0          303.4      0.730        1800       213     0
599       100.00     650.0          303.4      0.729        1800       213     0
600       100.00     650.0          303.4      0.729        1800       213     0
601       100.00     650.0          303.4      0.729        1800       213     0
602       100.00     650.0          303.4      0.729        1800       213     0
603       100.00     650.0          303.4      0.729        1800       213     0
604       100.00     650.0          303.4      0.729        1800       213     0
605       100.00     650.0          303.4      0.729        1800       213     0
606       100.00     650.0          303.4      0.729        1800       213     0
607       100.00     650.0          303.4      0.728        1800       213     0
608       100.00     650.0          303.4      0.728        1800       213     0
609       100.00     650.0          303.4      0.728        1800       213     0
610       100.00     650.0          303.4      0.728        1800       213     0
611       100.00     650.0          303.4      0.728        1800       213     0
612       100.00     650.0          303.4      0.728        1800       213     0
613       100.00     650.0          303.4      0.728        1800       213     0
